Incident Number,Reported Date,Reported Time,Location,Category,Subcategory,Incident Summary
2019-003527,12/30/2019,6:10:00 AM,CENTRAL SQUARE,"Mischief, Under $5000",University Property,A Security patrol discovered several overturned garbage containers in the building. The Work Control Centre was notified.
2019-003522,12/30/2019,1:52:00 PM,PARKING LOT LL - VANIER VISITORS,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the parking lot. The individual was identified and escorted off campus.
2019-003523,12/30/2019,2:00:00 PM,YORK LANES RETAIL,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the building. The individual was identified and directed to leave campus.
2019-003525,12/30/2019,9:17:00 PM,GLENDON COLLEGE - YORK HALL,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the building. The individual was identified and escorted off campus.
2019-003526,12/30/2019,10:09:00 PM,YORK LANES OFFICES,"Disturbance, Causing",Loitering,A Security patrol encountered a known non- community member loitering inside a third floor office area. The individual was identified and directed to leave the building.
2019-003528,12/31/2019,9:21:00 AM,90 ATKINSON ROAD RESIDENCE,Emergency Medical,Injury,"Security, Toronto Police and EMS responded to a report of an infant with an injury. EMS transported the infant to hospital for further medical care."
2020-000001,12/31/2019,9:30:00 PM,KEELE CAMPUS RESIDENCE,Mental Health Act,Non-Community Member,"Security, Toronto Police and EMS responded to a report of a disturbance involving an individual in distress. The individual was identified as a known non- community member. Toronto Police arrested the individual and he was transported to hospital for further medical care."
2020-000004,1/2/2020,9:38:00 AM,90 ATKINSON ROAD RESIDENCE,Fire Alarm,Other Emergency,Security and Toronto Fire responded to a fire alarm. The cause for the alarm was determined to be a flood in the building. The Work Control Centre was notified.
2020-000003,1/2/2020,9:46:00 AM,YORK LANES RETAIL,"Mischief, Under $5000",University Property,A Security patrol discovered a smashed pane of glass in a restaurant entry door. The Work Control Centre was notified.
2020-000005,1/2/2020,3:02:00 PM,320 ASSINIBOINE ROAD RESIDENCE,"Disturbance, Causing",Loitering,Security responded to a report that an unknown male was asleep inside the garbage room. The male was unable to provide identification and was escorted off campus.
2020-000006,1/3/2020,9:00:00 AM,WINTERS COLLEGE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep in a first floor hallway. The male was identified and escorted off campus.
2020-000007,1/3/2020,11:25:00 AM,STONG COLLEGE,Break & Enter,University Property,A Security patrol discovered the Junior Common Room had been forcibly entered. Damage was sustained to the entry door. The Work Control Centre was notified.
2020-000008,1/3/2020,11:27:00 AM,GLENDON COLLEGE - PROCTOR FIELD HOUSE,"Theft, Under $5000",Private Property,Complainant reported the theft of cash left unattended in a washroom.
2020-000009,1/3/2020,2:01:00 PM,YORK LANES RETAIL,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member. The individual was identified and escorted off campus.
2020-000013,1/4/2020,12:25:00 AM,YU TTC SUBWAY STATION - Common Road,Suspicious Persons,Subject not Identified,A community member reported an unknown male was acting in a concerning manner while aboard the subway to the Keele campus. The male was identified as a known non-community member. Toronto Police was notified.
2020-000011,1/4/2020,12:50:00 AM,VARI HALL,"Disturbance, Causing",Loitering,A Security patrol encountered a known non- community member asleep in a second floor classroom. The individual was identified and directed to leave the building.
2020-000010,1/4/2020,1:22:00 AM,ROSS BUILDING - SOUTH TOWER,"Mischief, Under $5000",University Property,A Security patrol discovered evidence of an unauthorized entry into an office suite.
2020-000012,1/4/2020,1:59:00 AM,ROSS BUILDING - NORTH TOWER,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member on the seventh floor. The male was identified and escorted off campus.
2020-000015,1/4/2020,2:59:00 PM,YORK LANES RETAIL,Trespass to Property Act,Non-Community Member,Security responded to a report that an unknown male was accosting individuals in the York Lanes mall. The male was identified as a previously trespassed non- community member and was escorted off campus.
2020-000014,1/4/2020,3:35:00 PM,WILLIAM SMALL CENTRE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the building. The individual was identified and trespassed from campus.
2020-000016,1/4/2020,4:02:00 PM,340 ASSINIBOINE ROAD RESIDENCE,"Disturbance, Causing",Dispute,Security responded to a report of two individuals involved in a dispute in the lobby. The involved individuals were identified as community members. Both were cautioned and they apologized for their behaviour. Medical care or police assistance was declined.
2020-000017,1/4/2020,11:12:00 PM,SCHULICH SCHOOL OF BUSINESS,"Disturbance, Causing",Loitering,A Security patrol encountered a known non- community member asleep inside a basement level lounge. The male was identified and directed to leave the building.
2020-000018,1/5/2020,1:31:00 AM,VICTOR PHILLIP DAHDALEH BUILDING,"Mischief, Under $5000",University Property,A Security patrol discovered a first floor classroom in disarray. Garbage was strewn throughout the room and furnishing were overturned. The Work Control Centre was notified.
2020-000019,1/5/2020,2:37:00 AM,VICTOR PHILLIP DAHDALEH BUILDING,"Disturbance, Causing",Loitering,A Security patrol encountered a non- community member asleep in the building. The individual was identified and directed to relocate to a common area.
2020-000020,1/5/2020,2:55:00 AM,SECOND STUDENT CENTRE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep in the building. The individual was identified and directed to leave campus.
2020-000021,1/5/2020,11:23:00 AM,OTTAWA ROAD,Motor Vehicle Incident,Collision \No Injuries,Security responded to a report that a university vehicle was involved in a single vehicle collision. No injuries were reported.
2020-000023,1/5/2020,11:24:00 PM,STEDMAN LECTURE HALLS,Smoking Complaint,Subject Not Identified,"Security responded to a smoking complaint. Upon arrival, four unidentified males exited the building."
2020-000024,1/5/2020,11:50:00 PM,ACCOLADE WEST,"Disturbance, Causing",Loitering,Security responded to a report of an unknown male asleep inside a second floor hallway. The male was identified as a community member and was directed to relocate to a common area.
2020-000025,1/6/2020,12:42:00 AM,WINTERS RESIDENCE,Emergency Medical,Sudden Illness,"Security, Toronto Fire and EMS responded to a report of a community member experiencing a sudden illness. EMS transported the individual to hospital for further medical care."
2020-000026,1/6/2020,2:10:00 AM,BEHAVIOURAL SCIENCE BUILDING,"Disturbance, Causing",Loitering,Security responded to a report of two individuals found asleep inside a first floor office. Two non-community members were identified and directed to leave the building.
2020-000027,1/6/2020,4:15:00 AM,VANIER COLLEGE,"Mischief, Under $5000",University Property,Custodial Services reported an unknown person urinated on the furnishings inside a first floor classroom.
2020-000028,1/6/2020,5:20:00 AM,VANIER COLLEGE,"Mischief, Under $5000",University Property,Complainant reported deliberate damage to a wall clock and instructional equipment located inside a first floor classroom.
2020-000029,1/6/2020,8:25:00 AM,VANIER COLLEGE,"Disturbance, Causing",Soliciting,Security responded to a report that two unknown males were soliciting without authorization for an off campus business. Descriptions of the males were obtained.
2020-000033,1/6/2020,1:54:00 PM,360 ASSINIBOINE ROAD RESIDENCE,"Mischief, Under $5000",Private Property,Complainant reported the entry door locks to the residence mail room had been tampered with. The Work Control Centre was notified.
2020-000035,1/6/2020,3:48:00 PM,YORK LANES RETAIL,Fire Alarm,Unknown Cause,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was not determined."
